26/1/2023;What is a book, movie, song, or television program that has influenced you, and how?;the book of mormon
26/1/2023;How did I see the hand of the Lord in my life today?;he helped me at work with stuff I wasnt sure how to make it
26/1/2023;What was the best part of my day?;sleeping!!!
24/1/2023;If I had one thing I could do over today, what would it be?;Think about programming
24/1/2023;How did you day started?;sleepy but good
24/1/2023;How did I see the hand of the Lord in my life today?;he helped me at work
24/1/2023;How did I see the hand of the Lord in my life today?;he helped me to fix the program, that was really good
26/1/2023;What keeps you up at night worrying? Are your worries realistic? Is there anything you can do about them?;It worries me to not have enough time to do what I would like to do
26/1/2023;If I had one thing I could do over today, what would it be?;How I treat my children when I am under stress
26/1/2023;What was the best part of my day?;finishing my project
26/1/2023;What was the strongest emotion I felt today?;peace
